time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
30.0,0.0,0.0,1970.07,-13.65,1484.54,1703.97,1776.43,2417.89,1987.36,2020.43,581.25,749.15,1947.03,2075.95,1244.51,1177.21,1886.7,1810.16
31.0,0.0,0.0,1974.51,-11.06,1485.19,1682.83,1737.06,2406.11,1965.65,2007.97,577.78,750.47,1911.59,2041.86,1229.1,1196.56,1884.18,1779.37
32.0,0.0,0.0,1970.77,-8.13,1460.33,1673.73,1742.67,2374.87,1940.76,1978.71,579.42,730.75,1906.28,2042.81,1228.48,1189.63,1878.66,1775.98
33.0,0.0,0.0,1959.59,-10.565,1456.595,1669.0749999999998,1734.835,2366.53,1919.685,1954.005,575.875,730.1949999999999,1911.94,2022.075,1212.8049999999998,1171.01,1854.255,1755.365
34.0,0.0,0.0,1947.38,-9.105,1449.66,1659.885,1707.54,2344.66,1904.21,1939.37,572.145,720.4549999999999,1891.54,2011.145,1222.23,1175.2800000000002,1817.43,1723.4050000000002
35.0,0.0,0.0,1947.96,-5.205,1444.325,1645.52,1684.385,2328.685,1877.17,1911.365,576.875,727.2850000000001,1877.975,1979.06,1202.28,1172.535,1827.33,1710.235
36.0,0.0,0.0,1933.345,-4.72,1437.625,1645.405,1694.5100000000002,2312.625,1860.205,1893.61,575.425,723.55,1864.675,1965.645,1194.32,1162.08,1810.735,1702.19
37.0,0.0,0.0,1920.26,-11.545,1413.0749999999998,1626.02,1676.61,2299.195,1842.255,1875.335,562.69,703.2750000000001,1863.065,1964.48,1196.0549999999998,1152.765,1809.715,1694.06
38.0,0.0,0.0,1921.77,-10.405,1402.805,1613.27,1666.63,2291.075,1813.455,1843.285,566.5999999999999,713.91,1847.74,1919.68,1179.25,1140.525,1795.875,1674.1799999999998
39.0,0.0,0.0,1899.715,-3.65,1396.03,1600.225,1654.905,2280.88,1809.14,1832.56,549.81,700.015,1846.935,1922.225,1162.61,1130.335,1776.89,1656.24
40.0,0.0,0.0,1893.38,-12.435000000000002,1399.205,1589.065,1647.505,2264.94,1789.77,1815.61,550.355,697.315,1829.83,1906.515,1159.145,1131.44,1778.5800000000002,1651.59
41.0,0.0,0.0,1881.65,-19.895000000000003,1375.565,1578.36,1633.61,2259.19,1773.835,1796.67,552.1800000000001,694.61,1810.845,1889.01,1160.765,1132.05,1764.275,1629.54
42.0,0.0,0.0,1871.1,-16.005,1366.64,1570.295,1626.56,2242.455,1763.015,1804.61,546.375,681.6,1799.39,1882.91,1157.63,1116.54,1755.03,1632.845
43.0,0.0,0.0,1848.65,-8.535,1363.47,1564.96,1603.1799999999998,2239.41,1748.06,1785.475,544.38,680.02,1781.975,1858.035,1151.545,1120.9699999999998,1744.47,1609.54
44.0,0.0,0.0,1851.85,1.4800000000000004,1336.21,1557.355,1619.875,2225.65,1729.445,1755.9250000000002,550.99,684.85,1769.785,1837.58,1153.875,1114.125,1729.33,1592.785
45.0,0.0,0.0,1832.79,-9.67,1333.39,1536.405,1599.235,2235.145,1708.66,1739.53,536.52,672.325,1760.32,1833.935,1142.255,1101.375,1713.6799999999998,1598.585
46.0,0.0,0.0,1817.325,-7.074999999999999,1337.26,1522.34,1592.56,2206.7,1705.42,1735.715,544.4749999999999,659.355,1745.9299999999998,1817.09,1155.495,1105.99,1697.4,1578.365
47.0,0.0,0.0,1813.0,-11.625,1320.345,1535.3200000000002,1585.915,2206.34,1678.4,1721.615,532.36,665.6500000000001,1748.635,1805.74,1135.785,1104.69,1704.865,1564.745
48.0,0.0,0.0,1794.405,-6.979999999999998,1309.915,1509.5,1582.295,2199.07,1687.385,1710.44,531.105,650.3050000000001,1741.66,1799.84,1132.755,1085.16,1685.94,1560.17
49.0,0.0,0.0,1792.71,-3.66,1294.53,1500.235,1568.445,2189.63,1668.52,1698.285,521.72,645.6,1726.435,1784.68,1131.045,1079.955,1693.84,1548.88
50.0,0.0,0.0,1785.24,-14.95,1298.48,1497.655,1566.81,2179.7250000000004,1659.885,1691.9450000000002,524.4300000000001,627.83,1717.49,1782.645,1123.99,1080.66,1686.615,1557.125
51.0,0.0,0.0,1759.42,9.855,1295.26,1490.99,1565.4,2171.395,1656.565,1678.835,514.79,634.1800000000001,1719.15,1756.605,1121.185,1074.76,1680.62,1532.94
52.0,0.0,0.0,1749.965,206.575,1290.49,1478.535,1556.91,2173.085,1644.64,1666.64,515.96,637.765,1701.965,1737.525,1113.025,1090.36,1671.4,1532.94
53.0,0.0,0.0,1735.605,768.655,1285.6149999999998,1471.89,1541.93,2160.32,1640.11,1666.745,516.3199999999999,631.785,1681.51,1728.33,1112.92,1072.565,1662.21,1521.475
54.0,0.0,0.0,1725.525,1641.765,1283.025,1461.19,1541.93,2158.39,1630.415,1648.0549999999998,504.45,626.915,1689.5,1723.965,1109.4050000000002,1072.865,1653.91,1513.06
55.0,0.0,0.0,1723.96,2301.78,1262.3349999999998,1452.225,1538.785,2154.665,1615.025,1650.0500000000002,510.65,609.66,1662.105,1713.565,1112.52,1063.6,1650.71,1495.615
56.0,0.0,0.0,1714.35,2767.02,1261.0,1452.005,1538.46,2156.11,1596.285,1631.74,509.21,624.34,1673.07,1698.405,1097.875,1071.57,1648.055,1494.855
57.0,0.0,0.0,1697.955,3078.88,1270.0949999999998,1449.34,1529.91,2127.21,1601.54,1626.01,493.06,611.77,1666.08,1694.73,1090.275,1067.48,1638.68,1500.02
58.0,0.0,0.0,1693.725,3283.9,1252.645,1439.75,1524.395,2131.63,1593.875,1626.02,492.79,603.7049999999999,1669.405,1689.17,1090.45,1060.01,1643.425,1480.15
59.0,0.0,0.0,1686.94,3432.45,1244.815,1430.495,1522.235,2133.545,1581.31,1599.36,487.15,602.16,1638.5800000000002,1687.055,1092.46,1054.34,1633.06,1486.0549999999998
60.0,0.0,0.0,1684.83,3496.175,1244.62,1416.255,1514.26,2132.835,1570.735,1608.005,487.595,587.6300000000001,1635.375,1670.1799999999998,1095.56,1047.875,1613.16,1476.5
61.0,0.0,0.0,1663.765,3507.6000000000004,1230.02,1418.485,1514.89,2133.42,1564.86,1595.085,490.55,592.8299999999999,1638.68,1659.0,1075.86,1048.875,1616.46,1469.13
62.0,0.0,0.0,1650.485,3483.5950000000003,1233.1,1423.59,1509.605,2135.2200000000003,1558.325,1595.41,480.35,587.6300000000001,1631.96,1647.9450000000002,1069.77,1043.41,1618.1,1451.79
63.0,0.0,0.0,1654.465,3453.035,1225.1,1406.51,1503.6799999999998,2127.55,1543.565,1585.025,472.76,588.995,1628.5500000000002,1646.845,1064.9,1050.065,1617.1149999999998,1450.09
64.0,0.0,0.0,1638.7899999999995,3408.4250000000056,1226.635000000001,1404.1799999999992,1499.0550000000014,2118.2250000000017,1546.2699999999993,1578.8049999999985,475.26,583.7100000000022,1611.1950000000038,1634.394999999996,1081.654999999998,1041.6300000000035,1603.0750000000012,1460.015000000002
65.0,0.0,0.0,1634.82,3265.39,1217.21,1398.89,1498.94,2118.82,1539.11,1568.66,461.79,578.69,1612.39,1629.54,1042.22,1040.23,1615.9,1448.59
66.0,0.0,0.0,1623.38,3150.97,1223.76,1406.72,1489.91,2113.33,1541.06,1590.7,463.04,565.23,1595.73,1631.08,1069.87,1032.5,1624.26,1441.77
67.0,0.0,0.0,1621.62,3066.78,1221.71,1387.06,1495.07,2110.7,1541.93,1548.0,450.58,569.96,1608.88,1617.44,1068.48,1046.19,1626.67,1423.9
68.0,0.0,0.0,1613.05,2993.27,1207.18,1387.69,1485.83,2116.91,1508.2,1555.17,461.43,569.23,1600.11,1598.36,1061.7,1040.63,1595.08,1429.85
69.0,0.0,0.0,1609.32,2921.41,1191.26,1388.74,1487.33,2100.44,1516.4,1550.17,454.14,558.15,1589.39,1602.74,1048.37,1019.44,1584.58,1424.96
70.0,0.0,0.0,1607.13,2859.48,1203.5,1380.52,1478.53,2089.73,1501.1,1542.8,462.68,563.24,1586.11,1595.3,1059.91,1022.8,1580.44,1428.78
